
Name        Version          Source   Updated             Info
----        -------          ------   -------             ----
7zip        21.07            main     2022-01-22 19:58:54 
bat         0.22.1           main     2022-10-11 15:15:27 
cacert      2022-02-01       main     2022-02-18 19:04:02 
composer    2.2.5            main     2022-01-23 14:24:49 
cowsay      0.2013.07.19     main     2022-02-20 22:59:45 
curl        7.81.0           main     2022-01-22 19:58:57 
dark        3.11.2           main     2022-01-23 15:45:22 
fzf         0.29.0           main     2022-01-23 12:09:59 
gcc         11.2.0           main     2022-01-22 20:03:08 
git         2.35.1.windows.1 main     2022-02-01 20:31:16 
helix       22.08.1          main     2022-10-11 14:36:41 
imagemagick 7.1.0-20         main     2022-01-23 15:19:27 
innounp     0.50             main     2022-01-23 15:02:20 
jq          1.6              main     2022-01-22 19:58:59 
less        608              main     2022-10-11 15:15:36 
lessmsi     1.10.0           main     2022-01-23 15:45:20 
make        4.3              main     2022-02-20 22:30:23 
mysql       8.0.28           main     2022-01-23 15:32:24 
nano        6.0-14           main     2022-02-13 12:43:11 
neofetch    7.1.0            main     2022-01-23 14:36:13 
neovim      0.6.1            main     2022-02-13 11:32:33 
nvm         1.1.9            main     2022-01-22 22:31:41 
openssl     3.0.1            main     2022-01-23 15:03:37 
php         8.1.2            main     2022-01-23 14:24:59 
php74       7.4.27           versions 2022-01-23 15:21:08 
python      3.10.2           main     2022-01-23 15:46:10 
python27    2.7.18           versions 2022-01-23 15:46:36 
rustup      1.25.1           main     2022-10-11 14:32:06 
sqlite      3.38.5           main     2022-05-31 18:37:16 
sudo        0.2020.01.26     main     2022-01-22 19:58:59 
wget        1.21.2           main     2022-02-18 19:04:06 
wttop       1.1              main     2022-06-04 14:10:45 
yarn        1.22.17          main     2022-01-23 15:51:30 

